Company,JobTitle,SalaryLower,SalaryUpper,OfficeLocation,EmploymentType,Seniority,JobCategories,RoleDesc,Requirements,mcfURL
TOTAL EBIZ SOLUTIONS PTE. LTD.,Senior Business Analyst,"$7,000","$8,500Monthly",31 UBI ROAD 1 408694,Contract,Professional,Information Technology," Work with Business Analysts and various teams to perform case reviews, business requirements analysis, and provide overall view of proposed solutions and ensure alignment of business objectives.  Responsible for ensuring the proposed solution is aligned with the overall architecture design. Responsible for complying with the program standards, processes and technical standards defined for the project.  Responsible for the design and development of all integration points and interfaces with SAP, any selected 3rd party software and other applications/systems. Perform the following key maintenance activities: Propose solutions to fulfil business requirements and recommend potential areas for streamlining. Design, document and develop programs according to functional specifications received and ensure the developed programs fulfil the business requirements. Plan, identify, define and conduct unit testing to ensure the proposed solution fulfils the business requirements. Provide technical support to the Functional Consultants during system integration and user acceptance testing, implementing code changes if required. Ensure programs developed pass the required vulnerability assessments and code quality inspections. Troubleshoot any problems reported before and after implementation of solution. Participate in any quality assurance activities and resolve any risks or areas for improvement identified. Perform risk management which includes identification; provide mitigation solutions and management for risks. Participate in the change request process which includes performing impact assessment, development and testing. "," The candidate should possess a Degree or Diploma in Computer Science, Engineering or Equivalent. Minimum of 4 years of IT system implementation experience with at least 2 full cycle implementations as a Team Lead ",https://www.mycareersfuture.sg/job/e6ead5d5b1b73d1a6c520ef3718038dd
VIRTUSA SINGAPORE PRIVATE LIMITED,Senior Business Analyst,"$5,000","$7,000Monthly","AKZONOBEL HOUSE, 3 CHANGI BUSINESS PARK VISTA 486051",Full Time,Senior Executive,Information Technology,"Virtusa is looking to hire senior business analysts for the business consulting practice in ASEAN region with experience in banking and financial services industry. Virtusa invites applications from strong and confident individuals who can provide their domain experience in process and operations consulting, client onboarding, credit risk applications, due diligence, FATCA and other banking related processes. Responsibilities  Be an individual contributor to project Capture business, functional requirements while interacting with senior business stakeholders Manage internal and external stakeholders Document business, functional and technical requirements Provide subject matter expertise in Client Onboarding, credit applications, other banking sales and servicing processes Lead focus groups and facilitate workshops Support implementation teams in full SDLC lifecycle as a domain consultant. Support with UAT, SIT and change management Identify issues and forming hypothesis Prepare business proposals / presentations Formulate and implement recommendations/solutions Ensure that the client receives the assistance needed to implement the recommendations / solutions Help with pre-sales support "," 8-10 years of operational consulting, IT consulting experience with focus on project management and experience product design Proven team and people management skills Ability to manage senior client relationships Experience in implementing large scale transformation projects from start to finish Experience in projects on client onboarding, client due-diligence and other customer management related processes with banks globally or in the region Team player with the right attitude The individual should be flexible to travel in the APAC region ",https://www.mycareersfuture.sg/job/44aa52f296837f4cacd14fa5ae54be48
BANK OF CHINA LIMITED,"Business Analyst, eChannels & Systems Management","$3,000","$6,000Monthly","BANK OF CHINA BUILDING, 4 BATTERY ROAD 049908",Permanent,Executive,Banking and Finance," Define detailed functional and technical requirements involving digital banking channels, ATM services and core banking systems. Lead and collaborate with cross-functional and technical teams including Head Office, Operation and other departments to define requirements. Work effectively with the business users and with the internal IT and Security Teams to ensure all aspects of the business functions, processes and requirement are defined and analyzed. Consult with business users to identify, define and document business needs and objectives, current operational procedures, problems, input and output requirements, and levels of systems access. Analyze the feasibility of, and develop requirements for, systems and enhancements to existing systems. Ensures the functional design fits the needs of the users. Track and fully document changes for functional and business specifications. Prepare detailed procedures and requirements for use in training. Identify opportunities for improving business processes, user interface and functionality through information systems and/or non-system driver changes. Assist in the preparation of proposals to develop new systems and/or operational changes. Assist the project team in issue resolutions to meet the requirements and timelines. Define the training materials, conduct formal system and user training sessions as well as facilitate train-the-trainer approach.   "," Preferably a Bachelor’s Degree with 3-5 years of relevant working experience in Project Management within Retail Banking. Strong relationship building and interpersonal skills, with good oral and written communication skills. Experienced in web-based application design in financial services, online payments or e-commerce is preferred. Ability to meet timelines, prioritize business needs and manage multiple projects requirements simultaneously. Ownership of results and commitment to goals. Highly independent and self-motivated, should be able to work with minimum supervision. ",https://www.mycareersfuture.sg/job/8aff2296ed24536f9f52aefb309bd3f5
M1 NET LTD.,Business Analyst (Enterprise),"$3,800","$6,700Monthly",10 INTERNATIONAL BUSINESS PARK 609928,Full Time,"Manager, Professional, Senior Executive","Consulting , Others, Telecommunications"," Conduct research work into Enterprise market and work with partners to analyse new business technologies/market opportunities Examine existing landscape to identity pro-Enterprise business models Align measurement matrices against corporate strategies Measure and review business performance against strategic objectives, i.e., management review, compiling and issuing management reports Drive strategic planning activities with stakeholders and partners Develop reports, study business trends and work on business case Coordinate M&A activities "," Degree in Business, Computer Science, IT or its related discipline with minimum 5 years’ work experience Experience in assuming a supervisory role as a Consultant or Business Analyst Highly numeric with the ability to work independently and handle people at all levels Strong in report writing, corporate presentation skills and corporate strategy competencies M&A exposure will be an added advantage Proficient in advance Excel and PowerPoint ",https://www.mycareersfuture.sg/job/f990a27537f2f824e485f6d7d7952c9d
M1 LIMITED,Business Analyst (Enterprise),"$3,800","$6,700Monthly",10 INTERNATIONAL BUSINESS PARK 609928,Full Time,"Manager, Professional, Senior Executive","Consulting , Others, Telecommunications"," Conduct research work into Enterprise market and work with partners to analyse new business technologies/market opportunities Examine existing landscape to identity pro-Enterprise business models Align measurement matrices against corporate strategies Measure and review business performance against strategic objectives, i.e., management review, compiling and issuing management reports Drive strategic planning activities with stakeholders and partners Develop reports, study business trends and work on business case Coordinate M&A activities "," Degree in Business, Computer Science, IT or its related discipline with minimum 5 years’ work experience Experience in assuming a supervisory role as a Consultant or Business Analyst Highly numeric with the ability to work independently and handle people at all levels Strong in report writing, corporate presentation skills and corporate strategy competencies M&A exposure will be an added advantage Proficient in advance Excel and PowerPoint ",https://www.mycareersfuture.sg/job/8f2013680895a62f77d4dc12444dbc1a
COLD STORAGE SINGAPORE (1983) PTE LTD,Business Analyst,Salary undisclosed,Salary undisclosed,239 ALEXANDRA ROAD 159930,Permanent,Professional,Accounting / Auditing / Taxation," Preparation of routine and ad-hoc management reports. Ensure that management reports are prepared accurately and timely as well as in compliance with statutory regulations and generally-accepted accounting principles. Play an active business partnering role by providing insights to the designated Business Unit. Coordinate and control financial budgets/forecasts of the designated Business Unit. Assist in the completion of financial feasibility analysis for new sites, lease renewals and store refurbishment projects. Prepare performance review reports for new, re-furbished and/or loss-making stores. Review and analyse Business Unit's P&L. Engage the Business Unit on reasons for significant variances. Review work processes in order to improve efficiency. Participate in related projects, system implementation and enhancements. "," Candidate must possess at least a Bachelor's Degree in Accountancy or equivalent. Minimum 3 years of relevant working experience, including the preparation of management reports and financial analysis. Possess strong analytical skills and an eye for detail. Proficient in Microsoft Excel. Experience in FMCG or retail industry is preferred. Customer-centric and a team player. Possess excellent interpersonal skills. ",https://www.mycareersfuture.sg/job/f205a23b6ff10f840d1440e6af08ee1b
DBS BANK LTD.,"Snr Assoc, Business Analyst (Deposits Portfolio Analytics), CBG Business Analytics, CBG (18000122)","$5,000","$9,000Monthly","MARINA BAY FINANCIAL CENTRE, 12 MARINA BOULEVARD 018982",Full Time,Professional,Banking and Finance," Perform analytics for the Deposits Portfolio to identify acquisition and retention opportunities, provide timely insights to key stakeholders Identify new business opportunity, marketing initiatives. Analyse customer behaviour or other related psychographic attribute and help design campaigns to drive customer engagement and marketing effectiveness with predictive analytics. Review campaign performance and recommend strategies to improve future campaign effectiveness Closely work with business teams and other functional areas to get buy-in on program recommendations and execution Manage execution of ad-hoc business requests for information and analysis Work with internal and external partners to support relevant projects and initiatives Partner with data management teams to design, develop and maintain product data mart as a single source data for MIS/analytics Design, develop, and provide timely dashboard/MIS to help product managers and management to drive business ","Non-technical Experience  Strong analytical skills, highly numerate and proactive  Good interpersonal and communication skill  Minimum degree qualification, advanced degree will be preferred  With at least 3 years of relevant working experience, preferably with data management and analytics in the banking industry Degree in Banking/Finance, Business,  Mathematics/Statistics, Computer or related disciplines  Technical Experience  Proficient in SAS Programming, Enterprise Guide, macro and SQL Proficient in Teradata and RDBMS programming Preferred knowledge in Business Intelligence tools and data mining  Experience in manipulating and handling of large volume of data ",https://www.mycareersfuture.sg/job/c0c72b703207d0af4f42860dc59edf08
DBS BANK LTD.,"Associate, Business Analyst (Deposits Portfolio Analytics), CBG Business Analytics, CBG (18000122)","$3,750","$6,800Monthly","MARINA BAY FINANCIAL CENTRE, 12 MARINA BOULEVARD 018982",Full Time,Professional,Banking and Finance," Perform analytics for the Deposits Portfolio to identify acquisition and retention opportunities, provide timely insights to key stakeholders Identify new business opportunity, marketing initiatives. Analyse customer behaviour or other related psychographic attribute and help design campaigns to drive customer engagement and marketing effectiveness with predictive analytics. Review campaign performance and recommend strategies to improve future campaign effectiveness Closely work with business teams and other functional areas to get buy-in on program recommendations and execution Manage execution of ad-hoc business requests for information and analysis Work with internal and external partners to support relevant projects and initiatives Partner with data management teams to design, develop and maintain product data mart as a single source data for MIS/analytics Design, develop, and provide timely dashboard/MIS to help product managers and management to drive business ","Non-technical Experience  Strong analytical skills, highly numerate and proactive  Good interpersonal and communication skill  Minimum degree qualification, advanced degree will be preferred  With at least 3 years of relevant working experience, preferably with data management and analytics in the banking industry Degree in Banking/Finance, Business,  Mathematics/Statistics, Computer or related disciplines  Technical Experience  Proficient in SAS Programming, Enterprise Guide, macro and SQL Proficient in Teradata and RDBMS programming Preferred knowledge in Business Intelligence tools and data mining  Experience in manipulating and handling of large volume of data ",https://www.mycareersfuture.sg/job/46421b301df18f3ab0554bae4770301b
ALLEGIS GROUP SINGAPORE PRIVATE LIMITED,Business Analyst – 12 month extendable contract,"$5,000","$7,500Monthly","SUNTEC TOWER ONE, 7 TEMASEK BOULEVARD 038987","Contract, Full Time","Executive, Junior Executive","Consulting , Insurance, General Management","Being part of Transformation Office, this role serves as a liaison between business users and vendors, working on projects for insurance companies.  Facilitate the definition of user requirement with business, conduct performance gap analysis, prepare requirement package (e.g. Business Requirement Specification, Process Map, Product Roadmap, Requirement Traceability Matrix, etc.); Understand and review To-Be processes, suggesting areas of improvements for As-Is processes; Work with stakeholders on scope and requirements management; Review requirements documented by vendors, ensuring all requirements are adequately defined in the Functional Design documents prior to sign-off from stakeholders; Function as a Project Manager when required;  Lead business users in defining UAT test cases, ensuring all requirements are tested; Facilitate/Conduct user training for all users, off-shore teams and other departments using the application; Ensure all deliverables by the vendor are on-time. "," University graduate preferably in Information Technology, Computer Science or related disciplines; Minimum 1 year of experience in Business requirement gathering & analysis, User Acceptance Test and User Management, with experience in General Insurance an added advantage; Project Management experience a plus; Strong analytical and problem solving skills are required; Organized, structured and able to do detailed work and documentation; Experienced in Vendor Management; Excellent communication skills; Working experience in using Visio and documenting As-Is/To-Be processes and Use Case model;  Be able to make occasional travel to other Asian countries when needs arise. ",https://www.mycareersfuture.sg/job/d456ca97b0ae06afa168969d63bab59e
PACTERA SINGAPORE PTE. LTD.,*Business Analyst,"$4,000","$6,500Monthly","CATTEL BUILDING, 42 ALEXANDRA TERRACE 119938","Permanent, Contract",Executive,Information Technology,"Responsibilities:  ·        Lead requirements gathering and analysis workshops and meetings   ·        Conduct interviews and fact finding activities   ·        Identify and validate requirement gaps, resolve conflicts or propose viable alternatives   ·        Translate business requirements into functional and technical specification   ·        Effective bridge between business and technical communities to ensure applications are designed and built according to business and technical requirements   ·        Perform or supervise quality assurance activities to ensure applications built according to quality standards   ·        Perform impact analysis due to change requests, enhancements or re-work   ·        Manage business requirements within agreed scope, advise stakeholders of scope creep   ·        Produce professionally written functional requirements documents in a timely manner   ·        Supervise user-interface designers/developers to produce quality mock-up/prototypes to solidify understanding and capture of user requirements   ·        Present and effectively communicate validated requirements, functional design, mock-ups to stakeholders   ·        Produce timely management reports   Work with architect and technical leads to ensure conformance to technical requirements","Critical attributes for success:  ·        Solution-oriented, able to grasp client’s business processes, functional, technical and operational requirements, and identify gaps, conflict in business requirements and present viable/optimum solutions   ·        Able to work independently, under pressure, with minimum supervision and under strict deadlines   ·        Driven to exceed expectation with positive outcome   ·        Good time keeper, person of integrity   ·        Possess inquisitive mind, able to question the status quo with tact and diplomacy   ·        Situation aware, able to differentiate facts from opinions   ·        Good communicator, good listener, able to discern non-verbal communication signals and overcome cultural differences   ·        Able to anticipate problems and failure points   ·        Commitment to quality, attention to detail   ·        Commitment to customer satisfaction   ·        Able to communicate effectively with all levels within the client organization, vendors and with stakeholders   ·        A people’s person who has excellent people management skills   ·        Possess problem ownership mindset and leadership qualities       Qualification and Experience:  ·        Recognized University degree in relevant discipline   ·        Minimum 3 years in IT industry and specifically in SDLC environment   ·        Minimum 2 years in business analysis capacity   ·        Posses process engineering and re-engineering experiences   ·        Good working knowledge of object oriented technologies, open systems, BPM tools, UML, HTML, Visio, MS Office   ·        Possess domain knowledge in one of the following: banking, finance, insurance, manufacturing, government, telcos   ·        Possess domain knowledge in Telcos industry will be an added advantage   ·        Posses ITIL experience will be an added advantage   ·        Willing to travel",https://www.mycareersfuture.sg/job/b349034a44a77d136f7cb7295468032a
IKAS INTERNATIONAL (ASIA) PTE. LTD.,Business Analyst,Salary undisclosed,Salary undisclosed,"OUE DOWNTOWN, 6 SHENTON WAY 068809",Permanent,Senior Executive,Information Technology,"The selected candidate shall be responsible for the following:  Works with client to elicit high-level requirements and capture business needs Clearly articulates and documents business requirements Assesses the risks of various solutions and prioritizes competing business demands Manages ongoing relationship with business partner to drive satisfaction with IT Work closely with UI/UX Designer to incorporate usability and user interface needs when designing systems Collaborate with Chief Architect, development team and vendors to ensure technologies are meeting project requirements. Coordinates project delivery by participating in design reviews and walk-throughs to communicate systems designs and validate proposed solutions. Conduct project briefing and assign duties to project team members.  Direct, coordinate and track progress of activities assigned to team members. Monitor development team (internal and vendors) performance against SLAs Proactively resolves customer satisfaction issues Coordinate and respond to clients on requests for changes from original scope Drive compliance with the IT Quality processes and SDLC & SCRUM processes, including the IT Change Management and Quality/Testing process Communicate project status to project steering committee and other stakeholders as appropriate. Manage project issues/risks in a timely manner and appropriately escalating when necessary. Prepare project documentation including Minutes of Meeting, Requirement Specifications, Design Specifications, User Acceptance Test Plans and Reports, Training and User Manuals, and Project Status Reports, etc.   ","Requirements  Bachelor or Master’s Degree in Information Systems or Business Experience in mobile app development is a plus Demonstrated ability to communicate in both verbal and written communication Basic understanding of information technology and business concepts Familiarity with general business functions Strong analytical, problem-solving and communication skills Organized, meticulous, and positive attitude Independent, good teamworker, fast learner, and ability to multitask Excellent administrative skills, coupled with a good understanding of the project life cycle, SCRUM (agile development methodology), project documentation, and project standards. ",https://www.mycareersfuture.sg/job/6979c6caa543fe6a3d7406925078d51f
DBS BANK LTD.,"Associate, Business Analyst (Payments Team), Consumer Banking Group (1800016K)","$3,750","$6,800Monthly","MARINA BAY FINANCIAL CENTRE, 12 MARINA BOULEVARD 018982",Full Time,Professional,Banking and Finance," Support Cashless & Payments team in consumer bank to identify opportunities to reduce cash and cheque handling, redirect payments through digital channel. Work closely with business, technology team and other partners to understand the business requirements, leverage on internal and external data to provide analytical insights supporting business strategies  Analyse customer behaviour and help design campaigns to drive customer engagement and marketing effectiveness. Work with various teams to design, develop and maintain product data mart as a single source data for MIS/analytics Design, develop, and provide timely dashboard/MIS reports to help the product managers and management to drive the business "," Minimum 3 years of experience  Non-technical Experience  Strong analytical skills, highly numerate and proactive  Good interpersonal and communication skill  Minimum degree qualification, advanced degree will be preferred  With at least 3-5 years of relevant working experience, preferably with data management and analytics in the banking industry Degree in Banking/Finance, Business, Mathematics/Statistics, Computer or related disciplines  Technical Experience  Proficient in SAS Programming, Enterprise Guide, macro and SQL Preferred knowledge in Business Intelligence tools and data mining  Experience to manipulate and handle large dataset ",https://www.mycareersfuture.sg/job/48f5e6738f8a24da8a7dbc4ff149d1c5
MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,Sr.Endur Business Analyst (2594681),"$5,000","$10,000Monthly","GUOCO TOWER, 1 WALLICH STREET 078881",Full Time,Non-executive,Accounting / Auditing / Taxation,"Responsibilities Include  - Participate in the workshops to discuss the scope of the project, gather requirements and help project manager in planning & estimation  - Produce a clear and coherent functional design for Endur application focussing on Back office operations, especially Accounting & Tax treatment  - Drive and support change through effective project delivery, be responsible in configuring and setting up the required changes in Endur  - To be the first point of contact for all Singapore business / project users during the course of the project.  - Support business users during the project and post go-live for any application related issues / questions  - Work with UK DevOPS team in supoprting the business cross geography business users specifically in the are of Back office.","Skills – Business Analyst, who understand the ETRM business and have good experience in OpenLink Endur. Should be aware of configuring new products, counterparties, taxes, agreements, accounting, invoices, confirmations etc. in Endur. Strong knowledge in BackOffice and accounting is must and it’s good to have front office and mid office knowledge as well. Should have good communication and analytical skills. Can interact with users/traders and deliver as an independent contributor. Technologies – OpenLink Endur Industry Experience –7-8 years’ experience in ETRM/CTRM domain. Exposure to different commodities like Gas, Oil, LnG, Emissions etc. Should be strong in BackOffice and Accounting. Education- Graduate/Post Graduate/MBA in petroleum   Interested candidates may send in their resume and cover letter directly to MP_SCSTechnology@manpower.com.sg (R1442141) ** We regret to inform that only shortlisted candidates will be notified. ** We respect your privacy and all communication will be treated with confidentiality.  If you wish to know more about this position or explore other roles, please prepare your updated profile and get in touch with our consultants at MP_SCSTechnology@manpower.com.sg (R1442141) Please note that your response to this advertisement and communications with us pursuant to this advertisement will constitute informed consent to the collection, use and/or disclosure of personal data by Manpower for the purpose of carrying out its business, in compliance with the relevant provisions of the Personal Data Protection Act 2012.  ",https://www.mycareersfuture.sg/job/0ff60a8a0d019d7bc71db0a20c71875f
KEPPEL SMIT TOWAGE PRIVATE LIMITED,Business Analyst,"$3,000","$6,000Monthly",50 GUL ROAD 629351,Full Time,"Manager, Executive, Senior Executive",Others,"Role and Responsibilities  Consult with Management on business needs, plans and strategies. Understand key business processes and KPIs and conduct analyses to monitor business performance and identify gap analysis. Collect, process, analyse data to deliver insights to facilitate decision making and support planning. Mining of data from various relevant sources, ensuring quality and management of these large volume of data. Translate data into analytics and reporting requirements. Organize data for modelling. Automate reports and creating dashboards utilizing appropriate software to support Business Intelligence portal for end users’ self-service. Develop creative work plans / workflow to meet timeframes working with key internal stakeholders. "," Bachelor’s Degree in Computer Science / Information Technology / Mathematics / Statistics. Knowledge in Shipping, Ship Management, Shipowners experience and logistics value chain a must. Exposed to KPI setting and management. Minimum 3 years of experience in managing database system and writing SQL queries. Strong analytical skills to collect, clean, organize, analyse and disseminate significant amount of information. A critical thinker with attention to details and accuracy. Proficient in articulating and communicating business plans. High level of competence in MS Excel, Access, MS SQL. Ability to manage and drive a wide range of diverse issues and support special projects needs simultaneously. Proficient in articulating and communicating business plans. Experience is using QlikView and Power BI tools preferred. ",https://www.mycareersfuture.sg/job/0aac758d850fbba71ef71f7eacc13824
DBS BANK LTD.,"AVP, Business Analyst (Payments Team), Consumer Banking Group (18000136)","$6,500","$11,700Monthly","MARINA BAY FINANCIAL CENTRE, 12 MARINA BOULEVARD 018982",Full Time,Professional,Banking and Finance," Support Cashless & Payments team in consumer bank to identify opportunities to reduce cash and cheque handling, redirect payments through digital channel. Work closely with business, technology team and other partners to understand the business requirements, leverage on internal and external data to provide analytical insights supporting business strategies  Analyse customer behaviour and help design campaigns to drive customer engagement and marketing effectiveness. Work with various teams to design, develop and maintain product data mart as a single source data for MIS/analytics Design, develop, and provide timely dashboard/MIS reports to help the product managers and management to drive the business "," Minimum 5 years of experience  Non-technical Experience  Strong analytical skills, highly numerate and proactive  Good interpersonal and communication skill  Minimum degree qualification, advanced degree will be preferred  With at least 3-5 years of relevant working experience, preferably with data management and analytics in the banking industry Degree in Banking/Finance, Business, Mathematics/Statistics, Computer or related disciplines  Technical Experience  Proficient in SAS Programming, Enterprise Guide, macro and SQL Preferred knowledge in Business Intelligence tools and data mining  Experience to manipulate and handle large dataset ",https://www.mycareersfuture.sg/job/8b0cd9ce6b28d1f2cd10d31dfa15ca8e
DBS BANK LTD.,"Senior Associate, Business Analyst (Payments Team), Consumer Banking Group (18000136)","$5,000","$9,000Monthly","MARINA BAY FINANCIAL CENTRE, 12 MARINA BOULEVARD 018982",Full Time,Professional,Banking and Finance," Support Cashless & Payments team in consumer bank to identify opportunities to reduce cash and cheque handling, redirect payments through digital channel. Work closely with business, technology team and other partners to understand the business requirements, leverage on internal and external data to provide analytical insights supporting business strategies  Analyse customer behaviour and help design campaigns to drive customer engagement and marketing effectiveness. Work with various teams to design, develop and maintain product data mart as a single source data for MIS/analytics Design, develop, and provide timely dashboard/MIS reports to help the product managers and management to drive the business "," Minimum 5 years of experience  Non-technical Experience  Strong analytical skills, highly numerate and proactive  Good interpersonal and communication skill  Minimum degree qualification, advanced degree will be preferred  With at least 3-5 years of relevant working experience, preferably with data management and analytics in the banking industry Degree in Banking/Finance, Business, Mathematics/Statistics, Computer or related disciplines  Technical Experience  Proficient in SAS Programming, Enterprise Guide, macro and SQL Preferred knowledge in Business Intelligence tools and data mining  Experience to manipulate and handle large dataset ",https://www.mycareersfuture.sg/job/91ead3f8c09253b0c8dc0cf2bcaa8af7
MPHASIS PTE LTD,Business Analyst - TAX,"$7,000","$12,000Monthly",6 BATTERY ROAD 049909,"Permanent, Full Time",Professional,"Banking and Finance, Engineering, Information Technology","Project Activities:  Perform Business Analysis on operation booking with a particular focus on corporate actions. Interact with various business representatives (Asia Regional Back Office, Asia Organization, Sponsor etc.) Ensure proper documentation of requirements, process mapping and workflow diagramming. Document business rules, feasibility studies and impact analysis. Ensure quality assurance by validating IT solution and coordinating UAT with business users. Conduct change management to the end-users. Create training materials and documentation for users and train new end users on related applications. Support and promote continuous improvement of the services and applications. ","Essential Technical Knowledge/Skills:  Business Analysis (5 years and above) General knowledge about private banking or asset management environment Securities (Equities, bonds, derivatives, Struct. Prods etc.) FX / Money market Corporate actions Core banking (cash, loans, fees etc.) Tax Database knowledge (Oracle, Sybase) and Shell scripting Quality Assurance / Project Management process Testing Asia Regulatory requirements (reports as per MAS/HKMA requirements)  Qualifications & Experience:  At least 8-10 years of experience as a business analyst in a financial institution Expertise of agile methodology Strong Functional knowledge of Back Office processes, financial products, trade life cycle obtained either through an IT core system implementation project or via positions held within the Operations department of Bank Strong exposure to corporate actions Exposure to Tax topics is a strong plus Experience on Tax system (Easytax from Bearing Point) is a plus ",https://www.mycareersfuture.sg/job/91dfb5cd8304de2a385abcc64d798447
KELLY SERVICES (SINGAPORE) PTE. LTD.,Business Analyst Project Manager,"$7,000","$9,000Monthly","ASIA SQUARE TOWER 1, 8 MARINA VIEW 018960",Full Time,Middle Management,Information Technology," • Consult with business/clients to identify and define business needs and objectives • Define and document business and user requirements/processes for KYC applications • Partner with the Business lines and act as a liaison between stakeholders (end-users, technical analysts, developers and cross IT teams) in the analysis, design, configuration, testing and maintenance of the systems to achieve optimal operational performance and quality",• 8+ years in a business analysis/project management role in an investment bank/financial services firm – ideally familiar with LEAN management approach • Good working knowledge of KYC processes and related regulatory reporting is an advantage  General knowledge in banking  Knowledge of KYC CDD  Good understanding and experience with project management best practices/ methodologies/ project lifecycle  Working experience with SQL server 2014,https://www.mycareersfuture.sg/job/a54615c63503909208e5072397bf0775
STARHUB LTD.,SFDC Senior Developer  /  Business Analyst,"$4,000","$5,500Monthly","STARHUB GREEN, 67 UBI AVENUE 1 408942","Permanent, Full Time",Professional,Information Technology,"The role will require an individual to analyse business requirements, develop and implement solutions. Document As-Is and to-be processes and communicate to peers, end users as well as key stakeholders. This role also requires extensive experience in Salesforce Development, customization and maintaining current implementation. Candidate must have strong knowledge and hands-on Lightning development using Lightning components, APEX, Visualforce, and in integrating SFDC to 3rd party Apps/tools using SOAP and REST APIs Responsibilities • Analyze and understand business needs, design, develop and deliver application to meet business objectives • Provide technical/functional knowledge to other team members regarding Salesforce • Liaise with end-users to collect and prioritize requirements, and be Point of Contact for all SFDC requirements • Convert end user requirements into technical documents for developers (onshore and offshore if applicable) • Perform 1st level impact analysis for requested changes and / or defects • Participate and collaborate on design and solutioning • Develop SFDC-based web and mobile applications utilizing Apex, Visualforce, and JavaScript • Integrate SFDC with other 3rd party, and custom in-house application • Create custom objects, Process Builder, Flows, workflows, triggers, SOQL, SOSL and web services • Salesforce Change Management/Release process • Write SFDC triggers according to trigger framework • Keep up-to-date with SFDC product developments (new acquisitions, features and functions that can add value in StarHub’s context)","Requirements • 5 years of experience in implementing and developing application on Salesforce using Lightning Components. Has at least 3 years of experience creating custom Apex code. • Prior Business Analyst experience (i.e. liaising with Business/End users) • Has Salesforce Certification (either Salesforce Certified platform developer or Salesforce Certified Sales Cloud Consultant) • Good Communication Skills, and a team player • Experience with API Integrations • Strong knowledge of SOAP and REST APIs • Experience with SFDC Lead to Order processes, SFDC Sales and Service Cloud • Experience in SFDC communities • Candidate with experience in CPQ product would have an added advantage  ",https://www.mycareersfuture.sg/job/4a51df73388d26244ac215db400ee485
U3 INFOTECH PTE. LTD.,Business Analyst,"$6,500","$8,500Monthly","OUE DOWNTOWN, 6 SHENTON WAY 068809","Contract, Full Time",Professional,Information Technology," 5 years experience in business analysis in banking/financial industry. Experience in gathering requirements and IT business solutions. Experience in stakeholders and business users expectations' management. Ability to trouble-shoot issues for users, and liaise with the FIS MAR resource for problem resolution Point person for Exchange and Regulatory changes PTF release management ", Preferred competency from a Technical background Strong in functional specifications with good domain knowledge in GMI Sungard Product  Data interrogation 	 Ability to execute basic Oracle SQL statements to interrogate StreamCore GMI Query   GMI QA Testing Environment Management Follow Software Testing Life Cycle for GMI application testing. ,https://www.mycareersfuture.sg/job/76d25adee3931a053f6268c3c045874c
U3 INFOTECH PTE. LTD.,Business Analyst,"$5,000","$6,000Monthly","OUE DOWNTOWN, 6 SHENTON WAY 068809","Contract, Full Time",Professional,Information Technology," Perform Business Analysis, liaising with various business representatives in gathering business requirements. Write technical specifications Preferred competency from a Technical background Strong in functional specifications with good domain knowledge in wealth management  ",  At least 5 years of experience in the private banking and wealth management industry. Experience in gathering requirements and IT business solutions. Experience in stakeholders and business users expectations' management. Experience in  wealth management- avaloq Ability to work independently in a challenging environment. Team player with good writing and communication skills. ,https://www.mycareersfuture.sg/job/21641e188f30f06c569b8df7df9902f2
COLLABERA TECHNOLOGIES PTE. LTD.,Senior Business Analyst,"$7,500","$9,750Monthly","THE SIGNATURE, 51 CHANGI BUSINESS PARK CENTRAL 2 486066",Contract,Professional,Information Technology,"  •             Experience with designing user access (Profiles vs Roles vs Permission sets) to match the requirements and align with organizational structure. •             Direct experience with [Salesforce.com or Dynamics365] in global organization is required. •             Experience with [Agile, Iterative, Waterfall] project and development processes, and the ability to communicate effectively with IT resources. •             Ability to lead requirements discussions with the business, with minimal management oversight. •             Strong background in business analysis, demonstrating the ability to translate business needs/goals into requirements and prototypes. •             Experience working in a global, multi-channel, cross-functional organization is required. •             Able to set priorities, manage expectations, work as part of a team and independently. •             Effective time management, organization, and planning skills. •             Working knowledge of best practices around cloud solutions. •             Willingness to learn new tools and expand cloud configuration knowledge. •             Salesforce Administrator Certification.",•             B.S or B.A. degree and at least 8 years of experience with core customer service processes and cloud based configurations. •             Hands-on 4 years experience with configuration and implementation experience with Salesforce.com [Service Cloud] •             Hands-on configuration and implementation experience with Microsoft Dynamics365  •             In-depth Experience in Salesforce.com reporting and workflow capabilities/limitations.,https://www.mycareersfuture.sg/job/0e16f2d99dd3a0b7454a9037dd5c2a52
